top - 17:00:13 up 23:26,  1 user,  load average: 0.10, 0.27, 0.35
Tasks: 156 total,   1 running, 155 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.6 us,  0.4 sy,  0.1 ni, 98.8 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    501748 total,   472980 used,    28768 free,    31932 buffers
KiB Swap:        0 total,        0 used,        0 free.   254384 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 1878 george    20   0   24808   1444   1044 R  6.4  0.3   0:00.01 top
    1 root      20   0   36544   4456      0 S  0.0  0.9   0:02.58 init
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.14 kthreadd
    3 root      20   0       0      0      0 S  0.0  0.0   0:00.03 ksoftirqd/0
    5 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S  0.0  0.0   0:04.97 rcu_sched
    8 root      20   0       0      0      0 S  0.0  0.0   0:04.41 rcuos/0
    9 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcu_bh
   10 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/0
   11 root      rt   0       0      0      0 S  0.0  0.0   0:00.00 migration/0
   12 root      rt   0       0      0      0 S  0.0  0.0   0:00.77 watchdog/0
   13 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 khelper
   14 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kdevtmpfs
   15 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 netns
   16 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 writeback
   17 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kintegrityd
   18 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
   19 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/u3:0
   20 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kblockd
   21 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ata_sff
   22 root      20   0       0      0      0 S  0.0  0.0   0:00.00 khubd
   23 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 md
   24 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 devfreq_wq
   25 root      20   0       0      0      0 S  0.0  0.0   0:04.33 kworker/0:1
   27 root      20   0       0      0      0 S  0.0  0.0   0:00.07 khungtaskd
   28 root      20   0       0      0      0 S  0.0  0.0   0:50.50 kswapd0
   29 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 vmstat
   30 root      25   5       0      0      0 S  0.0  0.0   0:00.00 ksmd
   31 root      20   0       0      0      0 S  0.0  0.0   0:00.00 fsnotify_ma+
   32 root      20   0       0      0      0 S  0.0  0.0   0:00.00 ecryptfs-kt+
   33 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 crypto
   45 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kthrotld
   47 root      20   0       0      0      0 S  0.0  0.0   0:00.00 vballoon
   48 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_0
   49 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_1
   70 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 deferwq
   71 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 charger_man+
  117 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_2
  120 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kpsmoused
  121 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kworker/0:2
  130 root      20   0       0      0      0 S  0.0  0.0   0:01.44 jbd2/vda1-8
  131 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ext4-rsv-co+
  314 root      20   0   51372    692      4 S  0.0  0.1   0:00.05 systemd-ude+
  342 george    20   0  105636   1868    884 S  0.0  0.4   0:00.00 sshd
  346 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
  395 george    20   0  105636   1868    884 S  0.0  0.4   0:00.00 sshd
  398 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.00 sshd
  409 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ttm_swap
  448 george    20   0  105636   1856    872 S  0.0  0.4   0:00.00 sshd
  451 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.00 sshd
  500 george    20   0  105636   1868    880 S  0.0  0.4   0:00.00 sshd
  502 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.02 sshd
  551 george    20   0  105636   1868    880 S  0.0  0.4   0:00.00 sshd
  553 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
  554 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.02 sshd
  556 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kvm-irqfd-c+
  622 george    20   0  105636   1868    880 S  0.0  0.4   0:00.00 sshd
  654 george    20   0  105636   1868    884 S  0.0  0.4   0:00.00 sshd
  656 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.01 sshd
  705 george    20   0  105636   1868    880 S  0.0  0.4   0:00.00 sshd
  707 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.01 sshd
  756 george    20   0  105636   1996    992 S  0.0  0.4   0:00.00 sshd
  758 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
  807 george    20   0  105636   1864    880 S  0.0  0.4   0:00.00 sshd
  808 george    20   0   12396   1424   1220 S  0.0  0.3   0:00.00 bash
  809 george    20   0    7212    612    516 S  0.0  0.1   0:00.00 cat
  810 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.01 sshd
  859 george    20   0  105636   1868    880 S  0.0  0.4   0:00.00 sshd
  861 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
  879 root      20   0   15816    160      4 S  0.0  0.0   0:00.00 getty
  882 root      20   0   15816    164      4 S  0.0  0.0   0:00.00 getty
  887 root      20   0   15816    156      4 S  0.0  0.0   0:00.00 getty
  888 root      20   0   15816    164      4 S  0.0  0.0   0:00.00 getty
  890 root      20   0   15816    168      4 S  0.0  0.0   0:00.00 getty
  915 george    20   0  105636   1868    884 S  0.0  0.4   0:00.00 sshd
  916 root      20   0   61376    884    208 S  0.0  0.2   0:03.35 sshd
  918 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.02 sshd
  919 root      20   0    4364    148      0 S  0.0  0.0   0:00.00 acpid
  923 root      20   0   23652    224      0 S  0.0  0.0   0:00.20 cron
  925 daemon    20   0   19136    168      0 S  0.0  0.0   0:00.00 atd
  970 george    20   0  105636   1992    992 S  0.0  0.4   0:00.00 sshd
  972 root      20   0       0      0      0 S  0.0  0.0   0:00.02 kworker/u2:0
  973 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.02 sshd
  996 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
 1003 root      20   0   15816    160      4 S  0.0  0.0   0:00.00 getty
 1042 george    20   0  105636   1868    884 S  0.0  0.4   0:00.00 sshd
 1076 george    20   0  105636   1864    880 S  0.0  0.4   0:00.00 sshd
 1078 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.03 sshd
 1116 root       0 -20       0      0      0 S  0.0  0.0   0:00.01 kworker/u3:1
 1119 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kauditd
 1129 george    20   0  105636   1868    880 S  0.0  0.4   0:00.00 sshd
 1131 root      20   0  105636   4176   3200 S  0.0  0.8   0:00.02 sshd
 1180 george    20   0  105636   1864    884 S  0.0  0.4   0:00.00 sshd
 1182 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
 1231 george    20   0  105636   1868    884 S  0.0  0.4   0:00.00 sshd
 1237 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.01 sshd
 1286 george    20   0  105636   1872    884 S  0.0  0.4   0:00.00 sshd
 1288 root      20   0  105636   4176   3200 S  0.0  0.8   0:00.02 sshd
 1337 george    20   0  105636   1864    884 S  0.0  0.4   0:00.00 sshd
 1339 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.02 sshd
 1388 george    20   0  105636   1868    884 S  0.0  0.4   0:00.00 sshd
 1390 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.03 sshd
 1392 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.01 sshd
 1394 root      20   0  105640   4296   3292 S  0.0  0.9   0:00.05 sshd
 1443 root      20   0   22644   3960   1872 S  0.0  0.8   0:00.12 bash
 1460 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.01 sshd
 1462 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.02 sshd
 1605 george    20   0  105636   1996    992 S  0.0  0.4   0:00.00 sshd
 1606 george    20   0  106932   3344   1012 S  0.0  0.7   0:00.02 sshd
 1607 george    20   0  105636   1864    876 S  0.0  0.4   0:00.00 sshd
 1611 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.02 sshd
 1613 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
 1663 george    20   0  105636   1864    880 S  0.0  0.4   0:00.00 sshd
 1667 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
 1669 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.02 sshd
 1751 george    20   0  105636   1864    880 S  0.0  0.4   0:00.00 sshd
 1810 george    20   0  105776   2004    992 S  0.0  0.4   0:00.00 sshd
 1815 george    20   0  105636   1992    992 S  0.0  0.4   0:00.00 sshd
 1822 root      20   0  104420   3724   2780 S  0.0  0.7   0:00.00 sshd
 1823 sshd      20   0   62792   1400    636 S  0.0  0.3   0:00.00 sshd
 1824 root      20   0  104420   3720   2780 S  0.0  0.7   0:00.01 sshd
 1825 sshd      20   0   62792   1396    636 S  0.0  0.3   0:00.01 sshd
 1826 root      20   0  104420   3720   2780 S  0.0  0.7   0:00.01 sshd
 1827 sshd      20   0   62796   1396    636 S  0.0  0.3   0:00.01 sshd
 1876 george    20   0  105636   1872    888 S  0.0  0.4   0:00.00 sshd
 1877 george    20   0   12396   1424   1220 S  0.0  0.3   0:00.00 bash
21169 root      20   0   10692    140      4 S  0.0  0.0   0:00.00 inetd
27561 root      20   0   19472    200      0 S  0.0  0.0   0:00.01 upstart-ude+
27565 root      20   0   15272    232      0 S  0.0  0.0   0:00.02 upstart-fil+
27566 root      20   0   15256    228      0 S  0.0  0.0   0:00.01 upstart-soc+
28997 root      20   0       0      0      0 S  0.0  0.0   0:01.25 kworker/u2:2
31523 root      20   0       0      0      0 S  0.0  0.0   0:00.09 kworker/u2:1
